TITLE     = ""
VARIABLES = "cycle"
"plunge [mm]"
"pitch [deg]"
"lift [N]"
ZONE T="Run 0881"
 STRANDID=0, SOLUTIONTIME=0
 I=6144, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -9.670000076E-001 4.681760025E+001 5.996600151E+000 5.354166403E-002
 -9.664999843E-001 4.679529953E+001 6.081500053E+000 5.593749881E-002
 -9.660000205E-001 4.676649857E+001 6.174399853E+000 5.854166672E-002
 -9.654999971E-001 4.673669815E+001 6.267399788E+000 6.125000119E-002
 -9.649999738E-001 4.670989990E+001 6.349199772E+000 6.395833194E-002
 -9.646000266E-001 4.666920090E+001 6.447000027E+000 6.677082926E-002
 -9.641000032E-001 4.663710022E+001 6.536799908E+000 6.958333403E-002
 -9.635999799E-001 4.659939957E+001 6.631400108E+000 7.249999791E-002
 -9.631000161E-001 4.656539917E+001 6.716400146E+000 7.552082837E-002
 -9.625999928E-001 4.652930069E+001 6.801499844E+000 7.843749970E-002
 -9.621000290E-001 4.649280167E+001 6.888199806E+000 8.145833015E-002
 -9.616000056E-001 4.645299911E+001 6.982900143E+000 8.447916806E-002
 -9.610999823E-001 4.641400146E+001 7.074500084E+000 8.760416508E-002
 -9.606999755E-001 4.637939835E+001 7.157999992E+000 9.072916210E-002
 -9.602000117E-001 4.634239960E+001 7.246399879E+000 9.375000000E-002
 -9.596999884E-001 4.629999924E+001 7.342800140E+000 9.687500447E-002
 -9.592000246E-001 4.626539993E+001 7.426400185E+000 1.001041681E-001
 -9.587000012E-001 4.623229980E+001 7.508399963E+000 1.032291651E-001
 -9.581999779E-001 4.619559860E+001 7.592100143E+000 1.064583361E-001
 -9.577000141E-001 4.615299988E+001 7.685400009E+000 1.097916737E-001
 -9.571999907E-001 4.611500168E+001 7.773900032E+000 1.130208299E-001
 -9.567000270E-001 4.608509827E+001 7.848000050E+000 1.164583340E-001
 -9.563000202E-001 4.604539871E+001 7.934899807E+000 1.197916716E-001
 -9.557999969E-001 4.600949860E+001 8.015500069E+000 1.232291684E-001
 -9.552999735E-001 4.596849823E+001 8.107299805E+000 1.267708242E-001
 -9.548000097E-001 4.593040085E+001 8.195899963E+000 1.302083284E-001
 -9.542999864E-001 4.589080048E+001 8.286199570E+000 1.338541657E-001
 -9.538000226E-001 4.585549927E+001 8.368499756E+000 1.373958290E-001
 -9.532999992E-001 4.581639862E+001 8.457200050E+000 1.410416663E-001
 -9.527999759E-001 4.577040100E+001 8.555600166E+000 1.446875036E-001
 -9.524000287E-001 4.573849869E+001 8.641200066E+000 1.483333260E-001
 -9.519000053E-001 4.571369934E+001 8.712200165E+000 1.519791633E-001
 -9.513999820E-001 4.566709900E+001 8.809100151E+000 1.555208266E-001
 -9.509000182E-001 4.561750031E+001 8.909299850E+000 1.591666639E-001
 -9.503999949E-001 4.558629990E+001 8.988499641E+000 1.627083421E-001
 -9.498999715E-001 4.553860092E+001 9.077400208E+000 1.662500054E-001
 -9.494000077E-001 4.549959946E+001 9.158300400E+000 1.696874946E-001
 -9.488999844E-001 4.544620132E+001 9.248900414E+000 1.730208248E-001
 -9.484000206E-001 4.539709854E+001 9.339500427E+000 1.763541698E-001
 -9.480000138E-001 4.534500122E+001 9.433400154E+000 1.795833260E-001
 -9.474999905E-001 4.529420090E+001 9.522500038E+000 1.826041639E-001
 -9.470000267E-001 4.524470139E+001 9.606800079E+000 1.856250018E-001
 -9.465000033E-001 4.519699860E+001 9.684599876E+000 1.884374917E-001
 -9.459999800E-001 4.514540100E+001 9.768899918E+000 1.911458373E-001
 -9.455000162E-001 4.508789825E+001 9.862999916E+000 1.938541681E-001
 -9.449999928E-001 4.503459930E+001 9.953800201E+000 1.962500066E-001
 -9.444999695E-001 4.497790146E+001 1.005280018E+001 1.986458302E-001
 -9.441000223E-001 4.492900085E+001 1.013889980E+001 2.009375095E-001
 -9.435999990E-001 4.487490082E+001 1.022500038E+001 2.031250000E-001
 -9.430999756E-001 4.482799911E+001 1.029979992E+001 2.051041573E-001
 -9.426000118E-001 4.477220154E+001 1.038430023E+001 2.069791555E-001
 -9.420999885E-001 4.471900177E+001 1.047049999E+001 2.088541687E-001
 -9.416000247E-001 4.466460037E+001 1.056159973E+001 2.106249928E-001
 -9.411000013E-001 4.461249924E+001 1.064789963E+001 2.121874988E-001
 -9.405999780E-001 4.456179810E+001 1.072929955E+001 2.137500048E-001
 -9.401000142E-001 4.451750183E+001 1.080270004E+001 2.153124958E-001
 -9.397000074E-001 4.446519852E+001 1.088580036E+001 2.166666687E-001
 -9.391999841E-001 4.441299820E+001 1.096889973E+001 2.179166675E-001
 -9.387000203E-001 4.435879898E+001 1.105539989E+001 2.191666663E-001
 -9.381999969E-001 4.430369949E+001 1.114509964E+001 2.204166651E-001
 -9.376999736E-001 4.424980164E+001 1.123820019E+001 2.214583308E-001
 -9.372000098E-001 4.419770050E+001 1.132470036E+001 2.224999964E-001
 -9.366999865E-001 4.415010071E+001 1.140649986E+001 2.234374881E-001
 -9.362000227E-001 4.410189819E+001 1.148659992E+001 2.242708206E-001
 -9.356999993E-001 4.404769897E+001 1.157320023E+001 2.250000089E-001
 -9.352999926E-001 4.398740005E+001 1.166650009E+001 2.256250083E-001
 -9.347999692E-001 4.392940140E+001 1.175160027E+001 2.262499928E-001
 -9.343000054E-001 4.387369919E+001 1.184010029E+001 2.266666740E-001
 -9.337999821E-001 4.381999969E+001 1.191709995E+001 2.269791663E-001
